Tanpa Merk;tanpa-merk
2 Ayam;2-ayam
Bunga;bunga
Tegar Jaya;tegar-jaya
Tulip;tulip
Bogasari;bogasari
Sriboga;sriboga
Sungai Budi;sungai-budi
Wilmar;wilmar
Tegar Jaya Manis;tegar-jaya-manis
Industri Gula Nusantara;industri-gula-nusantara
Kebon Agung;kebon-agung
Rejosari;rejosari
Rejo Agung;rejo-agung
Bina Karya Prima;bina-karya-prima
Jujur;jujur
Lestari;lestari
Kusuma Mukti Remaja;kusuma-mukti-remaja
Sinarmas;sinarmas
Asianagro Agung Jaya;asianagro-agung-jaya
Radja Nabati;radja-nabati
Musim Mas Grup;musim-mas-grup
Unichem Candi Indonesia;unichem-candi-indonesia
Susanti Megah;susanti-megah
Ajinomoto Indonesia;ajinomoto-indonesia
Wings Food;wings-food
Kara Santan Pratam;kara-santan-pratam
Sasa Inti;sasa-inti
Karya Ciptanyata;karya-ciptanyata
